sana;sanaluokka;taso;aikaleima (dd.mm.yyyy HH:MM:SS)
about;5;1;27-01-2022 04:42:47
about;4;1;19-06-2022 04:56:52
above;5;1;09-05-2022 13:45:07
above;4;1;10-03-2022 23:00:21
across;5;1;18-06-2022 09:22:12
across;4;1;03-06-2022 01:54:27
action;1;1;05-11-2022 16:57:53
activity;1;1;22-10-2022 20:37:05
actor;1;1;23-10-2022 12:49:33
actress;1;1;07-09-2022 19:49:14
add;2;1;24-10-2022 15:34:22
address;1;1;19-11-2022 12:01:03
adult;1;1;18-05-2022 11:56:16
advice;1;1;05-12-2022 17:56:31
afraid;3;1;13-12-2022 19:30:14
after;5;1;11-05-2022 22:12:50
afternoon;1;1;26-09-2022 19:05:48
again;4;1;18-11-2022 09:44:52
age;1;1;11-06-2022 22:19:19
ago;4;1;26-05-2022 15:40:22
agree;2;1;12-12-2022 14:15:58
air;1;1;18-03-2022 02:21:52
airport;1;1;28-07-2022 08:32:39
all;7;1;26-06-2022 20:14:36
all;8;1;23-09-2022 04:12:47
also;4;1;12-09-2022 03:16:35
always;4;1;28-08-2022 18:45:31
amazing;3;1;09-07-2022 03:17:11
and;9;1;06-05-2022 12:16:29
angry;3;1;28-11-2022 07:18:36
animal;1;1;16-11-2022 10:46:50
another;7;1;25-06-2022 03:15:18
another;8;1;21-01-2022 05:59:55
answer;1;1;21-06-2022 06:53:48
answer;2;1;21-06-2022 17:21:10
any;7;1;24-02-2022 21:07:05
any;8;1;20-06-2022 00:42:16
anyone;8;1;04-08-2022 03:27:01
anything;8;1;31-05-2022 08:46:44
apartment;1;1;29-10-2022 00:58:21
apple;1;1;12-03-2022 16:20:52
april;1;1;14-06-2022 07:51:09
area;1;1;23-12-2022 05:08:59
arm;1;1;17-04-2022 20:18:44
around;5;1;19-03-2022 19:52:57
around;4;1;25-07-2022 16:33:41
arrive;2;1;18-06-2022 05:45:00
art;1;1;22-06-2022 19:00:12
article;1;1;18-09-2022 03:17:16
artist;1;1;11-09-2022 06:32:26
as;5;1;03-05-2022 21:20:26
ask;2;1;15-09-2022 18:30:19
at;5;1;09-02-2022 19:39:11
august;1;1;27-02-2022 21:00:59
aunt;1;1;01-03-2022 19:02:57
autumn;1;1;27-08-2022 12:51:51
away;4;1;19-06-2022 03:20:45
baby;1;1;16-10-2022 16:55:13
back;1;1;11-05-2022 11:06:35
back;4;1;15-09-2022 06:29:02
bad;3;1;08-07-2022 08:35:56
bag;1;1;10-11-2022 01:10:34
ball;1;1;25-04-2022 09:18:10
banana;1;1;20-12-2022 14:12:35
band;1;1;25-05-2022 01:20:35
bank (money);1;1;30-01-2022 12:13:39
bath;1;1;01-05-2022 10:36:29
bathroom;1;1;23-02-2022 15:11:52
be;2;1;14-11-2022 00:15:57
be;2;1;15-09-2022 10:43:22
beach;1;1;14-01-2022 21:39:57
beautiful;3;1;22-11-2022 10:41:22
because;9;1;23-07-2022 10:03:18
become;2;1;27-05-2022 23:39:54
bed;1;1;17-05-2022 09:38:26
bedroom;1;1;31-07-2022 09:00:53
beer;1;1;31-07-2022 15:34:42
before;5;1;22-06-2022 07:34:54
begin;2;1;26-11-2022 06:57:43
beginning;1;1;19-01-2022 20:08:47
behind;5;1;25-05-2022 11:03:09
behind;4;1;13-05-2022 04:52:24
believe;2;1;07-07-2022 16:39:50
below;4;1;06-07-2022 15:37:02
below;5;1;15-01-2022 08:18:25
best;3;1;04-04-2022 21:33:03
better;3;1;12-11-2022 20:24:40
between;5;1;21-03-2022 14:13:41
bicycle;1;1;03-01-2022 07:26:13
big;3;1;12-07-2022 03:42:27
bike;1;1;21-11-2022 17:42:29
bill;1;1;05-07-2022 13:02:32
bird;1;1;29-01-2022 07:34:47
birthday;1;1;18-02-2022 15:54:51
black;3;1;15-12-2022 16:27:55
black;1;1;22-07-2022 05:03:51
blog;1;1;04-02-2022 12:17:50
blonde;3;1;14-10-2022 17:24:47
blue;3;1;16-05-2022 04:09:27
blue;1;1;28-10-2022 12:47:48
boat;1;1;17-08-2022 09:35:13
body;1;1;06-11-2022 19:14:34
book;1;1;06-02-2022 05:27:44
boot;1;1;20-04-2022 14:25:01
bored;3;1;14-11-2022 06:03:05
boring;3;1;01-06-2022 05:52:40
born;2;1;04-09-2022 21:40:36
both;7;1;11-01-2022 04:43:58
both;8;1;28-12-2022 02:14:09
bottle;1;1;04-02-2022 17:54:03
box;1;1;27-09-2022 20:27:42
boy;1;1;03-03-2022 01:32:28
boyfriend;1;1;12-08-2022 12:00:16
bread;1;1;14-04-2022 01:25:19
break;2;1;10-12-2022 22:45:22
break;1;1;16-03-2022 23:12:42
breakfast;1;1;18-08-2022 06:57:18
bring;2;1;05-02-2022 15:04:51
brother;1;1;26-09-2022 11:24:56
brown;3;1;21-06-2022 10:08:01
brown;1;1;10-02-2022 16:05:55
build;2;1;27-10-2022 02:33:02
building;1;1;28-02-2022 05:52:52
bus;1;1;01-09-2022 00:50:06
business;1;1;19-05-2022 23:43:39
busy;3;1;05-03-2022 05:12:31
but;9;1;21-04-2022 13:06:19
butter;1;1;18-02-2022 20:19:28
buy;2;1;08-09-2022 20:26:40
by;5;1;31-01-2022 22:12:28
bye;10;1;18-09-2022 20:49:14
cafe;1;1;05-09-2022 13:50:31
cake;1;1;17-02-2022 23:04:46
call;2;1;31-12-2022 14:08:20
call;1;1;27-04-2022 11:17:00
camera;1;1;23-04-2022 06:47:26
can modal;2;1;29-06-2022 13:53:20
cannot;2;1;03-09-2022 04:31:46
capital;1;1;08-11-2022 23:38:01
capital;3;1;25-08-2022 15:28:59
car;1;1;18-11-2022 21:19:39
card;1;1;07-05-2022 10:03:36
career;1;1;17-06-2022 17:40:21
carrot;1;1;07-11-2022 02:17:19
carry;2;1;15-01-2022 03:06:49
cat;1;1;26-12-2022 20:05:46
cd;1;1;23-03-2022 05:10:27
cent;1;1;27-05-2022 09:03:20
centre;1;1;15-11-2022 18:08:16
century;1;1;15-05-2022 10:27:41
chair;1;1;15-06-2022 22:49:50
change;2;1;19-01-2022 17:26:15
change;1;1;18-08-2022 10:36:36
chart;1;1;11-08-2022 22:18:23
cheap;3;1;21-07-2022 18:08:11
check;2;1;20-02-2022 16:43:49
cheese;1;1;26-09-2022 19:38:30
chicken;1;1;07-11-2022 02:15:18
child;1;1;15-10-2022 00:14:30
chocolate;1;1;23-07-2022 07:12:45
choose;2;1;15-07-2022 17:35:21
cinema;1;1;06-08-2022 12:00:32
city;1;1;26-05-2022 16:36:28
class;1;1;03-11-2022 02:56:19
classroom;1;1;22-12-2022 23:16:05
clean;3;1;27-05-2022 23:20:16
clean;2;1;23-08-2022 21:58:33
climb;2;1;19-01-2022 21:42:12
clock;1;1;10-11-2022 00:02:31
close;2;1;29-03-2022 02:19:17
clothes;1;1;18-02-2022 20:50:26
club;1;1;05-11-2022 11:09:37
coat;1;1;04-04-2022 23:36:34
coffee;1;1;30-05-2022 20:18:40
cold;3;1;11-06-2022 11:55:14
cold;1;1;14-11-2022 08:56:58
